Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1,Chao Ting Tang,32,UPR,Fgn,,92,189,173,36,63,10,2,2,20,1,3,14,33,0.364,0.413,0.48,0.893,83,5,1,0,1,0
2,Chieh Hsien Chen,26,UPR,Fgn,,115,549,484,99,174,32,4,3,67,21,10,49,42,0.36,0.42,0.461,0.88,223,5,7,1,8,1
3,Li Lin,24,RAK,Fgn,,108,462,416,92,149,23,4,25,86,22,6,37,107,0.358,0.417,0.613,1.03,255,5,6,1,2,2
4,Yung Chi Chen,36,UPR,Fgn,,102,347,306,49,109,15,1,14,63,10,3,34,82,0.356,0.416,0.549,0.965,168,8,0,3,4,0
5,Yu Hsien Chu*,28,RAK,Fgn,,103,394,357,62,126,20,1,27,70,0,0,31,80,0.353,0.406,0.642,1.048,229,8,3,0,3,1
6,Jin-De Jang,27,FUB,Fgn,,53,220,201,31,69,12,0,9,30,0,0,19,22,0.343,0.4,0.537,0.937,108,6,0,0,0,2
7,Chia Jung Liang,25,RAK,Fgn,,55,194,171,21,58,14,1,5,29,0,0,16,31,0.339,0.406,0.521,0.927,89,3,4,2,1,1
8,Wei Chen Wang,28,BTH,Fgn,,120,549,501,90,170,29,3,4,47,17,9,39,60,0.339,0.388,0.433,0.821,217,6,3,3,3,2
9,Chien Fu Liao,21,RAK,Fgn,,98,350,306,52,103,31,1,10,50,1,1,28,32,0.337,0.406,0.543,0.949,166,9,10,3,3,0
10,Tzu Hsien Chan,26,BTH,Fgn,,112,478,420,74,140,20,1,20,80,4,1,52,79,0.333,0.406,0.529,0.935,222,12,2,0,4,2
11,Chih Ping Lin,35,RAK,Fgn,,86,283,252,34,82,15,0,1,40,12,9,19,50,0.325,0.379,0.397,0.775,100,12,5,3,4,0
12,Szu Chi Chou*,38,BTH,Fgn,,106,398,355,75,115,26,1,22,81,6,3,36,66,0.324,0.386,0.589,0.975,209,4,2,2,3,0
13,Chi Hung Hsu,27,BTH,Fgn,,105,395,351,64,113,25,0,19,65,1,2,40,82,0.322,0.392,0.556,0.948,195,12,2,0,2,2
14,Chieh Jui Wu,27,UPR,Fgn,,67,247,215,35,69,12,0,3,33,7,1,17,29,0.321,0.4,0.419,0.819,90,7,12,2,1,0
15,Yao Hsun Yang*,37,RAK,Fgn,,65,229,212,35,67,17,1,9,38,5,1,13,53,0.316,0.362,0.533,0.895,113,3,3,0,1,1
16,Chih Chieh Su,25,UPR,Fgn,,118,511,438,104,137,31,4,28,98,13,6,58,115,0.313,0.395,0.594,0.989,260,9,7,0,8,1
17,Hung Yu Lin,34,RAK,Fgn,,105,430,397,57,124,22,0,13,70,1,0,15,81,0.312,0.349,0.466,0.815,185,10,11,0,7,3
18,Yi Chuan Lin,34,FUB,Fgn,,109,427,391,52,122,18,0,22,78,1,0,33,69,0.312,0.365,0.527,0.892,206,10,1,0,2,3
19,Chun-Hsiu Chen,31,RAK,Fgn,,97,388,341,58,106,16,1,12,54,3,2,39,79,0.311,0.381,0.469,0.85,160,7,2,2,4,0
20,Chin-lung Hu,36,FUB,Fgn,,41,176,158,31,49,7,0,6,31,5,1,13,21,0.31,0.354,0.468,0.823,74,2,0,1,4,1
21,Yin Lun Lan,30,RAK,Fgn,,88,354,316,54,98,22,3,6,35,5,4,30,60,0.31,0.377,0.456,0.833,144,5,5,1,2,1
22,An Ko Lin*,23,UPR,Fgn,,118,503,432,90,134,23,1,32,99,10,1,56,113,0.31,0.4,0.59,0.99,255,6,11,0,4,4
23,Chih Hsien Chiang,32,FUB,Fgn,,74,307,275,48,85,12,0,13,45,0,0,28,52,0.309,0.378,0.495,0.872,136,15,3,0,1,2
24,Kun Yu Chiang,19,BTH,Fgn,,114,442,395,61,122,22,3,4,44,7,2,18,39,0.309,0.357,0.41,0.767,162,10,14,10,5,0
25,Tsung Hsien Lee,26,FUB,Fgn,,117,526,488,78,151,25,4,5,46,26,5,28,89,0.309,0.351,0.408,0.758,199,12,4,4,2,0
26,Kuo Hui Kao,34,FUB,Fgn,,97,381,343,59,104,26,0,25,70,3,0,32,86,0.303,0.36,0.598,0.957,205,7,1,0,5,1
27,Kuo Ching Kao,41,UPR,Fgn,,68,168,159,13,48,5,0,3,26,0,1,6,25,0.302,0.323,0.39,0.713,62,5,0,1,2,0
28,Yuan Hsu Hsin,21,FUB,Fgn,,56,180,163,18,49,9,0,1,11,0,0,9,24,0.301,0.348,0.374,0.723,61,6,4,2,2,0
29,Chih Hao Chang,33,BTH,Fgn,,107,418,369,66,110,17,0,27,88,4,0,36,78,0.298,0.373,0.564,0.937,208,8,10,0,3,0
30,Chia Chu Chen,31,BTH,Fgn,,63,176,161,16,48,7,0,2,16,2,1,9,29,0.298,0.33,0.379,0.708,61,1,0,3,3,0
31,Cheng Wei Chang*,33,FUB,Fgn,,65,227,195,39,58,6,2,2,20,5,4,26,42,0.297,0.387,0.38,0.766,74,6,3,2,1,0
32,Chen Fei Lin,23,RAK,Fgn,,77,273,257,47,76,15,2,8,39,1,1,13,66,0.296,0.333,0.463,0.796,119,5,2,0,1,0
33,Fu Lin Kuo,29,UPR,Fgn,,77,284,253,43,74,15,3,16,63,2,1,15,62,0.293,0.359,0.565,0.924,143,6,13,0,3,0
34,Wei Ta Su,29,BTH,Fgn,,93,281,246,46,72,20,0,14,55,1,0,23,72,0.293,0.37,0.545,0.915,134,8,9,0,3,1
35,Che-Hsuan Lin,31,FUB,Fgn,,73,261,220,43,64,9,0,9,32,14,3,28,50,0.291,0.392,0.455,0.847,100,4,10,1,2,0
36,Tung Hua Yueh,24,BTH,Fgn,,76,272,237,32,69,11,2,4,34,4,4,24,39,0.291,0.355,0.405,0.76,96,10,1,7,3,0
37,Tzu Hao Chen*,24,BTH,Fgn,,85,328,281,38,81,25,0,11,52,2,0,43,71,0.288,0.382,0.495,0.877,139,5,1,1,2,1
38,Tung Jung Wu,28,BTH,Fgn,,87,281,243,45,70,15,2,2,17,9,1,11,55,0.288,0.359,0.391,0.75,95,8,16,11,0,0
39,Chung Ting Chen,24,UPR,Fgn,,84,265,247,30,71,9,2,2,23,6,5,14,54,0.287,0.326,0.364,0.69,90,9,0,4,0,0
40,Kuo Lin Kao,27,FUB,Fgn,,95,338,296,44,85,16,0,16,49,1,4,30,74,0.287,0.366,0.503,0.87,149,6,8,2,2,0
41,Wun Jie Chen,22,BTH,Fgn,,88,199,179,35,51,8,1,2,24,8,5,18,39,0.285,0.354,0.374,0.728,67,6,1,1,0,1
42,Chen Wei Chen,22,RAK,Fgn,,114,516,472,89,134,14,13,4,52,42,13,33,52,0.284,0.332,0.394,0.726,186,3,3,4,4,1
43,Kuo Chen Fan,25,FUB,Fgn,,91,281,258,37,73,18,2,5,32,3,3,17,54,0.283,0.326,0.426,0.753,110,9,1,2,3,1
44,Kai Lun Chen,32,FUB,Fgn,,66,189,167,22,47,11,2,1,27,3,1,11,35,0.281,0.342,0.389,0.732,65,7,5,5,1,0
45,Hao Wei Shen,22,FUB,Fgn,,78,250,229,32,64,14,1,8,27,6,1,13,72,0.28,0.335,0.454,0.789,104,5,6,2,0,1
46,Chung Yu Chen,24,UPR,Fgn,,78,207,180,27,49,5,0,3,18,9,4,17,41,0.272,0.345,0.35,0.695,63,4,4,4,2,0
47,Yen Wen Kuo,31,RAK,Fgn,,101,388,351,52,94,17,1,10,54,2,1,30,74,0.268,0.322,0.407,0.73,143,13,1,0,6,1
48,Yu Ying Lin,33,FUB,Fgn,,83,253,229,23,59,11,2,3,30,0,1,10,50,0.258,0.286,0.362,0.649,83,4,0,12,2,0
49,Tzu Chieh Lin,29,UPR,Fgn,,103,347,319,52,82,11,0,7,39,4,1,20,54,0.257,0.309,0.357,0.666,114,8,4,4,0,0
50,Cheng Tang Wang,24,FUB,Fgn,,67,204,191,28,49,10,1,3,16,7,3,8,31,0.257,0.296,0.367,0.662,70,1,3,1,1,0
51,Dai An Lin,28,UPR,Fgn,,86,266,240,33,59,11,0,8,40,1,0,16,67,0.246,0.29,0.392,0.681,94,8,0,7,3,0
52,Ching Kai Lin,19,UPR,Fgn,,109,335,309,48,75,10,3,3,36,14,3,11,66,0.243,0.283,0.324,0.606,100,6,7,6,2,0
53,Yu Chieh Kao,22,BTH,Fgn,,70,193,165,22,38,7,0,3,18,0,0,14,49,0.23,0.284,0.327,0.612,54,3,0,10,4,0
